id,name,link,price,category,
1,"Nestle Pure Life Purified Water, 16.9 fl oz. Plastic Bottles (12 count)",https://www.amazon.com/Nestle-Pure-Life-Purified-Plastic/dp/B00NP79AI8/ref=sr_1_4?fpw=pantry&keywords=bottled+water&qid=1574886162&s=pantry&sr=8-4,2.23,Prime Pantry,
2,MIRA SAFETY Hazmat Suit Disposable Protective Coverall NFPA certified with Respirator-Fit Hood and Elastic Cuff Size (LG/XL),https://www.amazon.com/MIRA-SAFETY-Disposable-Protective-Respirator-Fit/dp/B07QPX3YLV/ref=sr_1_8?keywords=hazmat+suit&qid=1574887933&sr=8-8,129.95,Prime Wardrobe,
3,Nuka Cola Quantum from Fallout Jones Soda | 1 Bottle,https://www.amazon.com/Nuka-Quantum-Fallout-Jones-Bottle/dp/B016ZEGTBS/ref=sr_1_2?keywords=nuka+cola&qid=1574887971&sr=8-2,14.99,Prime Pantry,
4,RiteBrew - Gold Oxygen Absorbing Bottle Caps - 144 pcs,https://www.amazon.com/RiteBrew-Gold-Oxygen-Absorbing-Bottle/dp/B0038L5T68/ref=sr_1_3?keywords=bottle+caps&qid=1574888139&s=hpc&sr=1-3,7.08,Health & personal care,
5,"First Aid Only 299 Piece All-Purpose First Aid Kit, Soft Case",https://www.amazon.com/First-Aid-Only-Piece-All-Purpose/dp/B000069EYA/ref=sxin_3_ac_d_rm?ac_md=0-0-bWVkIGtpdA%3D%3D-ac_d_rm&keywords=med+kit&pd_rd_i=B000069EYA&pd_rd_r=1a9353c0-e178-4072-b9d9-e5a5218b8a05&pd_rd_w=4RypA&pd_rd_wg=Sv0gh&pf_rd_p=6d29ef56-fc35-411a-8a8e-7114f01518f7&pf_rd_r=YM5MTNN3S77W68QZS4S0&psc=1&qid=1574888000,16.82,Health & personal care,
6,Campbell's Chicken Noodle Soup (Pack of 8),https://www.amazon.com/Campbells-Soup-Chicken-Noodle-15-4/dp/B0029TATOW/ref=sr_1_1?keywords=campbells+chicken+noodle+soup&qid=1575305943&s=hpc&sr=1-1,12.26,Prime Pantry,"< THE COLOR HERE MEANS NOTHING, BTW.. JUST HELPING ME KEEP TRACK OF WHAT I'VE DONE!"
7,Purina Friskies Wet Cat Food Variety Pack,https://www.amazon.com/Purina-Friskies-Pate-Adult-Variety/dp/B002CJARMI/ref=sr_1_4?keywords=pet+food&qid=1574888218&s=hpc&sr=1-4,12.84,Prime Pantry,
8,"SOG Fixed Blade Knives with Sheath - SEAL Team Survival Knife, Tactical Knife & Hunting Knife w/ 7 Inch AUS-8 Bowie Knife Half Serrated Edge (S37-K)",https://www.amazon.com/SOG-Fixed-Blade-Knives-Sheath/dp/B001D0PZX8/ref=sr_1_1?keywords=survival+knife&qid=1574888063&s=hpc&sr=1-1,115.17,Sports & Outdoors,
9,Bedsure Fleece Blanket Throw Size Navy Lightweight Super Soft Cozy Luxury Bed Blanket Microfiber,https://www.amazon.com/Bedsure-Fleece-Blanket-Lightweight-Microfiber/dp/B0157T1UMA/ref=sxin_3_ac_d_pm?ac_md=1-0-VW5kZXIgJDE1-ac_d_pm&keywords=blanket&pd_rd_i=B0157T1UMA&pd_rd_r=4d815da3-6b02-4b03-b6cf-3b75f5da588f&pd_rd_w=7oQq3&pd_rd_wg=WmzR7&pf_rd_p=24d053a8-30a1-4822-a2ff-4d1ab2b984fc&pf_rd_r=3KGKJEHQ4JG52YZYKK8X&psc=1&qid=1574888248&s=hpc,14.99,Health & personal care,  :-<
10,Solimo 99% Isopropyl Alcohol (16 fl oz),https://www.amazon.com/Amazon-Brand-Isopropyl-Antiseptic-Technical/dp/B07NFSFBXQ/ref=sr_1_4?keywords=rubbing+alcohol&qid=1574888298&s=hpc&sr=1-4,3.05,Health & personal care,i was using those lulz
11,"Go Time Gear Life Tent Emergency Survival Shelter – 2 Person Emergency Tent – Use As Survival Tent, Emergency Shelter, Tube Tent, Survival Tarp - Includes Survival Whistle & Paracord",https://www.amazon.com/Go-Time-Gear-Emergency-Survival/dp/B07NVWY95Y/ref=pd_rhf_dp_s_rtpb_1_5/134-6785739-6021145?_encoding=UTF8&pd_rd_i=B07NVWY95Y&pd_rd_r=1401f16b-c744-4db4-af67-2074df05b56a&pd_rd_w=MEVfg&pd_rd_wg=6XXuB&pf_rd_p=3aec0144-49f4-4a88-9a0e-c345eb34e97e&pf_rd_r=3R8SAY61DAHK7PCZJHMM&psc=1&refRID=3R8SAY61DAHK7PCZJHMM,16.95,Sports & Outdoors,
12,PREPARED4X Emergency Blanket Poncho - Keeps You and Your Gear Dry and Warm During Camping Hiking or Any Outdoor Activity | Thermal Mylar Space Blanket Ponchos to Keep You Prepared to Survive | 3 Pack,https://www.amazon.com/PREPARED4X-Emergency-Blanket-Poncho-Activity/dp/B07TDGV37F/ref=pd_sbs_468_30?_encoding=UTF8&pd_rd_i=B07TDGV37F&pd_rd_r=8667a897-4be3-4126-bc23-ea5a4c923b58&pd_rd_w=SA5Og&pd_rd_wg=kGPxc&pf_rd_p=5873ae95-9063-4a23-9b7e-eafa738c2269&pf_rd_r=PTVW4D6NKFF8SX06KQKJ&psc=1&refRID=PTVW4D6NKFF8SX06KQKJ,15.95,Sports & Outdoors,didn't want to overgray 
13,Eyeskey Multifunctional Military Lensatic Tactical Compass,https://www.amazon.com/Eyeskey-Multifunctional-Military-Waterproof-Activities/dp/B00QR3LOO0/ref=sxin_3_osp99-1e574ef8_cov?ascsubtag=1e574ef8-0634-43b7-87a1-8336e8938613&creativeASIN=B00QR3LOO0&cv_ct_id=amzn1.osp.1e574ef8-0634-43b7-87a1-8336e8938613&cv_ct_pg=search&cv_ct_wn=osp-search&keywords=Compass&linkCode=oas&pd_rd_i=B00QR3LOO0&pd_rd_r=71e468a5-68e6-4417-9e6d-2b418bbf55e5&pd_rd_w=DdifG&pd_rd_wg=X1i9g&pf_rd_p=53eff971-6e12-4016-9864-b6dfd929b2b3&pf_rd_r=GNW72PAHM5D0A98M6HFC&qid=1575402665&tag=gearpublish-20,25.90,Sports & Outdoors,
14,LifeStraw Personal Water Filter,https://www.amazon.com/LifeStraw-Personal-Camping-Emergency-Preparedness/dp/B006QF3TW4/ref=pd_bxgy_468_img_2/147-9420165-9422138?_encoding=UTF8&pd_rd_i=B006QF3TW4&pd_rd_r=61a8ded0-9fa2-4ae6-900c-77a41d48fe93&pd_rd_w=hehE8&pd_rd_wg=D2bqs&pf_rd_p=09627863-9889-4290-b90a-5e9f86682449&pf_rd_r=Y6S7FHC1CE980QYMFTPB&psc=1&refRID=Y6S7FHC1CE980QYMFTPB,11.99,Sports & Outdoors,
15,Swiss Safe Emergency Mylar Thermal Blankets (4-Pack),https://www.amazon.com/Swiss-Safe-Emergency-Blankets-Signature/dp/B01LZN0KGB/ref=pd_bxgy_img_3/147-9420165-9422138?_encoding=UTF8&pd_rd_i=B01LZN0KGB&pd_rd_r=274fcf29-4266-4726-b2da-824d46114cac&pd_rd_w=pNBmR&pd_rd_wg=a02wR&pf_rd_p=09627863-9889-4290-b90a-5e9f86682449&pf_rd_r=JABSVQ9YD7997W8TTPD3&psc=1&refRID=JABSVQ9YD7997W8TTPD3,13.99,Health & personal care,
16,UCO Stormproof Match Kit with Waterproof Case,https://www.amazon.com/UCO-Stormproof-Waterproof-Matches-Strikers/dp/B004P5XOTA/ref=pd_bxgy_468_img_3/147-9420165-9422138?_encoding=UTF8&pd_rd_i=B004P5XOTA&pd_rd_r=cdb5ef70-b2f3-407d-a473-b9d4737b59e4&pd_rd_w=jIY8R&pd_rd_wg=66gsv&pf_rd_p=09627863-9889-4290-b90a-5e9f86682449&pf_rd_r=MAE103SVX10NJ8KD8891&psc=1&refRID=MAE103SVX10NJ8KD8891,8.59,Sports & Outdoors,
17,Delmera Emergency Survival Sleeping Bag,https://www.amazon.com/Delmera-Emergency-Lightweight-Waterproof-Drawstring/dp/B07GJ4L92C/ref=sxin_0_osp64-c3b4807f_cov?ascsubtag=c3b4807f-7b1a-4c1a-a324-e8a7bc342877&creativeASIN=B07GJ4L92C&cv_ct_id=amzn1.osp.c3b4807f-7b1a-4c1a-a324-e8a7bc342877&cv_ct_pg=search&cv_ct_wn=osp-search&keywords=survival&linkCode=oas&pd_rd_i=B07GJ4L92C&pd_rd_r=28440ce3-b9ae-4c41-a07d-ca92a0e12ae9&pd_rd_w=NFyUp&pd_rd_wg=641S1&pf_rd_p=53eff971-6e12-4016-9864-b6dfd929b2b3&pf_rd_r=6F078FJ01JV5K6AGRKQ4&qid=1575403064&s=sporting-goods&tag=fsmag_os-20,20.99,Sports & Outdoors,
18,Don't Die In The Woods World's Toughest Ultralight Survival Tent,https://www.amazon.com/Toughest-Ultralight-Emergency-Year-Round-Protection/dp/B07CQ58ZCB/ref=pd_bxgy_468_img_3/147-9420165-9422138?_encoding=UTF8&pd_rd_i=B07CQ58ZCB&pd_rd_r=8eb66c9a-8902-4010-88c1-d4e284a4fa29&pd_rd_w=6Q8gu&pd_rd_wg=cXF2Z&pf_rd_p=09627863-9889-4290-b90a-5e9f86682449&pf_rd_r=YCTJJRA9BZS89WNMT7VY&psc=1&refRID=YCTJJRA9BZS89WNMT7VY,21.95,Sports & Outdoors,
19,Smith & Wesson 9in High Carbon S.S. Fixed Blade Knife,https://www.amazon.com/Smith-Wesson-SWHRT9B-Stainless-Tactical/dp/B000IXG44U/ref=sr_1_1?dchild=1&keywords=PPE&qid=1575403141&s=sporting-goods&sr=1-1,16.99,Sports & Outdoors,
20,Gerber Bear Grylls Survival Hatchet,https://www.amazon.com/Gerber-Grylls-Survival-Hatchet-31-002070/dp/B00B0I2DBK/ref=sr_1_4?keywords=survival+hatchet&qid=1575403244&s=sporting-goods&smid=ATVPDKIKX0DER&sr=1-4,27.77,Sports & Outdoors,
21,SUNER POWER 12V Solar Car Battery Charger & Maintainer,https://www.amazon.com/SUNER-POWER-Battery-Charger-Maintainer/dp/B07DFCDKLJ/ref=sxin_2_osp129-75ae673c_cov?ascsubtag=75ae673c-c4ad-4eac-977f-9ed63fab0e2a&creativeASIN=B07DFCDKLJ&cv_ct_id=amzn1.osp.75ae673c-c4ad-4eac-977f-9ed63fab0e2a&cv_ct_pg=search&cv_ct_wn=osp-search&keywords=solar+car+charger&linkCode=oas&pd_rd_i=B07DFCDKLJ&pd_rd_r=cb48e90d-7162-4586-88f9-8388d66fc979&pd_rd_w=De9wO&pd_rd_wg=vGEqh&pf_rd_p=53eff971-6e12-4016-9864-b6dfd929b2b3&pf_rd_r=RR4ZGMMQ51AXNTX4AQPR&qid=1575403274&s=sporting-goods&tag=thedrive09-20,45.95,Sports & Outdoors,
22,XREXS Solar Powered LED Car Flashlight,https://www.amazon.com/XREXS-Flashlight-Multi-Function-Portable-Traveling/dp/B07Q22Z5NC/ref=sr_1_6?keywords=solar+car+charger&qid=1575403307&s=sporting-goods&sr=1-6,32.99,Sports & Outdoors,
23,LE LED Camping Lantern Rechargeable,https://www.amazon.com/Rechargeable-Detachable-Flashlight-Portable-Emergency/dp/B01C5O7E2U/ref=sr_1_20?dchild=1&keywords=solar+car+charger&qid=1575403307&s=sporting-goods&sr=1-20,28.99,Sports & Outdoors,
24,Energizer AA Batteries (48 Count),https://www.amazon.com/Energizer-Batteries-Double-Battery-Alkaline/dp/B079GXSFPB/ref=sxin_3_osp60-1815d66e_cov?ascsubtag=1815d66e-2108-4809-acb2-e6e2998fea11&creativeASIN=B079GXSFPB&cv_ct_id=amzn1.osp.1815d66e-2108-4809-acb2-e6e2998fea11&cv_ct_pg=search&cv_ct_wn=osp-search&keywords=AA+batteries&linkCode=oas&pd_rd_i=B079GXSFPB&pd_rd_r=c7a137d1-4bb0-48bd-9c16-2f6a4d8bf18a&pd_rd_w=ERQxG&pd_rd_wg=3cSHK&pf_rd_p=53eff971-6e12-4016-9864-b6dfd929b2b3&pf_rd_r=85MQ7XZ6V26XCNW9P525&qid=1575403434&s=sporting-goods&tag=mlbonsitepub-20,19.34,Sports & Outdoors,
25,Energizer Max C Batteries (8 Count),https://www.amazon.com/Energizer-Batteries-Alkaline-Battery-Count/dp/B0044DA3NS/ref=pd_bxgy_img_3/147-9420165-9422138?_encoding=UTF8&pd_rd_i=B0044DA3NS&pd_rd_r=183f0461-db79-40d2-8c8e-027cead8e61d&pd_rd_w=Acx7R&pd_rd_wg=baXUA&pf_rd_p=09627863-9889-4290-b90a-5e9f86682449&pf_rd_r=VM9RH9ZHF6RXR568W6VC&psc=1&refRID=VM9RH9ZHF6RXR568W6VC,10.19,Health & personal care,
26,Energizer AAA Batteries (48 Count),https://www.amazon.com/Energizer-Batteries-Battery-Alkaline-E92DP2-24/dp/B079GS4YQS/ref=sr_1_5?keywords=AAA+batteries&qid=1575403532&s=hpc&sr=1-5,19.57,Health & personal care,
27,Western Frontier 2021 MRE,https://www.amazon.com/ULTIMATE-Inspection-Western-Frontiers-Guarantee/dp/B01EDB3H2Y/ref=sr_1_3?dchild=1&keywords=MRE&qid=1575403589&sr=8-3,88.00,Sports & Outdoors,
28,MREs (Meals Ready-to-Eat) Genuine U.S. Military Surplus Assorted Flavor (4-Pack),https://www.amazon.com/Ready-Genuine-Military-Surplus-Assorted/dp/B072323YNL/ref=pd_sbs_468_2/147-9420165-9422138?_encoding=UTF8&pd_rd_i=B072323YNL&pd_rd_r=8beccf28-b60b-4deb-876b-740d1eea9f12&pd_rd_w=l8tXe&pd_rd_wg=Fe2Pi&pf_rd_p=5873ae95-9063-4a23-9b7e-eafa738c2269&pf_rd_r=7P41KGZKMP50JKAK48YA&psc=1&refRID=7P41KGZKMP50JKAK48YA,34.50,Prime Pantry,
29,Ultimate 2018 US Military MRE Complete Meal,https://www.amazon.com/Ultimate-Military-MRE-Inspection-Spaghetti/dp/B01LZO2BU1/ref=pd_sbs_468_3/147-9420165-9422138?_encoding=UTF8&pd_rd_i=B01LZO2BU1&pd_rd_r=8beccf28-b60b-4deb-876b-740d1eea9f12&pd_rd_w=l8tXe&pd_rd_wg=Fe2Pi&pf_rd_p=5873ae95-9063-4a23-9b7e-eafa738c2269&pf_rd_r=7P41KGZKMP50JKAK48YA&psc=1&refRID=7P41KGZKMP50JKAK48YA,15.95,Prime Pantry,
30,M2 BASICS 300 Piece (40 Unique Items) First Aid Kit w/Bag,https://www.amazon.com/M2-BASICS-Emergency-Outdoors-Workplace/dp/B01M0MWXOZ/ref=pd_sbs_328_2/147-9420165-9422138?_encoding=UTF8&pd_rd_i=B01M0MWXOZ&pd_rd_r=da664cdb-ebbc-4dca-b0ee-87d800674cd0&pd_rd_w=itRaa&pd_rd_wg=9K9Q6&pf_rd_p=5873ae95-9063-4a23-9b7e-eafa738c2269&pf_rd_r=WCET5S3JCTSQX5V06VAS&psc=1&refRID=WCET5S3JCTSQX5V06VAS,19.88,Health & personal care,
31,First Alert 1038789 Standard Home Fire Extinguisher,https://www.amazon.com/First-Alert-1038789-Standard-Extinguisher/dp/B01LTICQYE/ref=pd_bxgy_121_img_2/147-9420165-9422138?_encoding=UTF8&pd_rd_i=B01LTICQYE&pd_rd_r=f9be1689-3d64-485f-9dc8-558c1f85da00&pd_rd_w=JHlA3&pd_rd_wg=5noqh&pf_rd_p=09627863-9889-4290-b90a-5e9f86682449&pf_rd_r=7S7GCJSEYWNHNYYGZWBB&psc=1&refRID=7S7GCJSEYWNHNYYGZWBB,16.97,Health & personal care,
32,Swiss Safe 2-in-1 First Aid Kit (120 Piece),https://www.amazon.com/Swiss-Safe-First-Piece-32-Piece/dp/B01G45DWOK/ref=pd_sbs_328_7?_encoding=UTF8&pd_rd_i=B01G45DWOK&pd_rd_r=da664cdb-ebbc-4dca-b0ee-87d800674cd0&pd_rd_w=itRaa&pd_rd_wg=9K9Q6&pf_rd_p=5873ae95-9063-4a23-9b7e-eafa738c2269&pf_rd_r=WCET5S3JCTSQX5V06VAS&psc=1&refRID=WCET5S3JCTSQX5V06VAS,27.88,Health & personal care,
33,"Gerber Bear Grylls Ultimate Knife, Serrated Edge",https://www.amazon.com/Gerber-Grylls-Ultimate-Serrated-31-000751/dp/B003R0LSMO/ref=sr_1_6?keywords=survival+knife&qid=1575403959&s=sporting-goods&sr=1-6,48.43,Sports & Outdoors,
34,Maxam 12-Piece Survival Knife Set,https://www.amazon.com/Maxam-12-Piece-Survival-Survivalists-Enthusiasts/dp/B004EAJFJE/ref=sr_1_26?keywords=survival+knife&qid=1575404037&s=sporting-goods&sr=1-26,38.18,Sports & Outdoors,
35,3M 62023HA1-C Professional Multi-Purpose Respirator,https://www.amazon.com/3M-62023HA1-C-Professional-Multi-Purpose-Respirator/dp/B002NMICB2/ref=sxin_0_ac_d_pm?ac_md=3-2-QWJvdmUgJDI1-ac_d_pm&crid=2IIVDEO3M5DWD&keywords=hazmat+mask&pd_rd_i=B002NMICB2&pd_rd_r=3fdef1e9-166e-405c-8c56-2c69e72ff2aa&pd_rd_w=SturS&pd_rd_wg=K17eU&pf_rd_p=24d053a8-30a1-4822-a2ff-4d1ab2b984fc&pf_rd_r=BRD1ENZC3GXKTRSNJC81&psc=1&qid=1575404117&s=sporting-goods&sprefix=hazmat%2Csporting%2C169,31.26,Health & personal care,
36,DEWALT Concealer Clear Anti-Fog Dual Mold Safety Goggle,https://www.amazon.com/DEWALT-DPG82-11-DPG82-11CTR-Concealer-Anti-Fog/dp/B01A12J3GI/ref=pd_bxgy_469_img_2/147-9420165-9422138?_encoding=UTF8&pd_rd_i=B01A12J3GI&pd_rd_r=ffc079ba-4257-45b0-ba91-e3d26f3ae49b&pd_rd_w=8Tztn&pd_rd_wg=aTibp&pf_rd_p=09627863-9889-4290-b90a-5e9f86682449&pf_rd_r=Q5Q8MVSYPQNBWV2V027F&psc=1&refRID=Q5Q8MVSYPQNBWV2V027F,9.99,Health & personal care,
37,3M Organic Vapor/Acid Gas Cartridge/Filter,https://www.amazon.com/3M-Cartridge-60923-Respiratory-Protection/dp/B00AEFCKKY/ref=pd_bxgy_469_img_3/147-9420165-9422138?_encoding=UTF8&pd_rd_i=B00AEFCKKY&pd_rd_r=ffc079ba-4257-45b0-ba91-e3d26f3ae49b&pd_rd_w=8Tztn&pd_rd_wg=aTibp&pf_rd_p=09627863-9889-4290-b90a-5e9f86682449&pf_rd_r=Q5Q8MVSYPQNBWV2V027F&psc=1&refRID=Q5Q8MVSYPQNBWV2V027F,18.97,Health & personal care,
38,MIRA SAFETY Full Facepiece Reusable Respirator,https://www.amazon.com/MIRA-SAFETY-Respirator-Respiratory-Protection/dp/B07N9ZBZKH/ref=sr_1_12?crid=2IIVDEO3M5DWD&keywords=hazmat+mask&qid=1575404117&s=sporting-goods&sprefix=hazmat%2Csporting%2C169&sr=1-12,274.07,Health & personal care,
39,"Under the Weather XLPod 1-Person Pop-up Weather Pod. The Original, Patented WeatherPod",https://www.amazon.com/Under-the-Weather-XLPod-Red/dp/B012XZ29MG/ref=sr_1_4?crid=IMB5PQP3MCN7&dchild=1&keywords=all+weather+tent&qid=1575406624&s=sporting-goods&sprefix=all+weather%2Csporting%2C165&sr=1-4,129.99,Sports & Outdoors,
40,DuPont Multipurpose Cleanup Kit:,https://www.amazon.com/dp/B07H5N9BQC/ref=psdc_393308011_t4_B07QTPZ7K7,12.99,Health & personal care,
41,AmazonBasics Folding Campfire Grill,https://www.amazon.com/AmazonBasics-Extra-Portable-Folding-Camping/dp/B074MZCNWJ/ref=sxin_2_ac_d_rm?ac_md=0-0-Y2FtcGluZyBncmlsbA%3D%3D-ac_d_rm&keywords=camping+grill&pd_rd_i=B074MZCNWJ&pd_rd_r=abecf771-cd9a-48db-83c5-02bae7b39db3&pd_rd_w=1GwbG&pd_rd_wg=Q4aUS&pf_rd_p=e2f20af2-9651-42af-9a45-89425d5bae34&pf_rd_r=GDNSDD0XEWBWXVD4YAQK&psc=1&qid=1575404406,34.99,Sports & Outdoors,
42,Wealers Camp Kitchen Utensil Organizer Travel Set,https://www.amazon.com/Wealers-Utensils-Kitchenware-Cookware-Scissors/dp/B014EGCWBA/ref=pd_bxgy_468_img_2/147-9420165-9422138?_encoding=UTF8&pd_rd_i=B014EGCWBA&pd_rd_r=0c86953d-90ee-439d-b3d9-0801dbae4bb1&pd_rd_w=h6lcY&pd_rd_wg=SUpqN&pf_rd_p=09627863-9889-4290-b90a-5e9f86682449&pf_rd_r=P8YG620ZSA9H4GCYV30Q&psc=1&refRID=P8YG620ZSA9H4GCYV30Q,24.99,Sports & Outdoors,
43,"EverBrite 2-Pack Headlamp Flashlight for Running, Camping",https://www.amazon.com/EverBrite-Headlamp-Flashlight-Lightweight-Batteries/dp/B01CTX7E0E/ref=pd_cp_468_4/147-9420165-9422138?_encoding=UTF8&pd_rd_i=B01CTX7E0E&pd_rd_r=0c86953d-90ee-439d-b3d9-0801dbae4bb1&pd_rd_w=EJTtZ&pd_rd_wg=SUpqN&pf_rd_p=0e5324e1-c848-4872-bbd5-5be6baedf80e&pf_rd_r=P8YG620ZSA9H4GCYV30Q&psc=1&refRID=P8YG620ZSA9H4GCYV30Q,9.99,Sports & Outdoors,
44,Sawyer Products MINI Water Filtration System,https://www.amazon.com/Sawyer-Products-SP128-Filtration-System/dp/B00FA2RLX2/ref=sr_1_5?dchild=1&keywords=water+purification&qid=1575404513&s=sporting-goods&sr=1-5,19.95,Health & personal care,
45,Potable Aqua Water Purification Tablets With PA,https://www.amazon.com/Potable-Aqua-Purification-Tablets-neutralizing/dp/B0009I3T3S/ref=pd_bxgy_468_img_3/147-9420165-9422138?_encoding=UTF8&pd_rd_i=B0009I3T3S&pd_rd_r=b05143a7-8b7b-4687-9e27-f55b180a5412&pd_rd_w=ZgtLh&pd_rd_wg=6lT0B&pf_rd_p=09627863-9889-4290-b90a-5e9f86682449&pf_rd_r=3EJZ9WY9WBPBBDB881XE&psc=1&refRID=3EJZ9WY9WBPBBDB881XE,9.99,Sports & Outdoors,
46,Cnoc Outdoors 2019 Vecto 2L Water Container,https://www.amazon.com/Cnoc-Outdoors-Container-Thread-Orange/dp/B07QBQ894L/ref=pd_cp_468_4/147-9420165-9422138?_encoding=UTF8&pd_rd_i=B07QBQ894L&pd_rd_r=b05143a7-8b7b-4687-9e27-f55b180a5412&pd_rd_w=SsqU5&pd_rd_wg=6lT0B&pf_rd_p=0e5324e1-c848-4872-bbd5-5be6baedf80e&pf_rd_r=3EJZ9WY9WBPBBDB881XE&psc=1&refRID=3EJZ9WY9WBPBBDB881XE,19.99,Sports & Outdoors,
47,Wilson Louisville Slugger,https://www.amazon.com/Louisville-Slugger-WTLW3AMIXB1633-Genuine-Baseball/dp/B01J8YKGXY/ref=sr_1_5?crid=3J31VYBBLVR90&dchild=1&keywords=louisville+slugger+wood+bat&qid=1575404629&s=sporting-goods&sprefix=louisv%2Csporting%2C184&sr=1-5,31.36,Sports & Outdoors,
48,HotHands Hand Warmers (20 Count),https://www.amazon.com/gp/product/B072M25LW9/ref=s9_acsd_al_bw_c_x_4_w?pf_rd_m=ATVPDKIKX0DER&pf_rd_s=merchandised-search-9&pf_rd_r=AQAQ5RDV013VFXW4MN1M&pf_rd_t=101&pf_rd_p=1003af40-4c25-40e0-8842-c3c7197c5923&pf_rd_i=706814011&th=1&psc=1,14.99,Health & personal care,
